source_table,temperature_k,pressure_gpa,log10_fugacity
Table S4,1200.0,88.0,17.0192318083374
Table S4,1200.0,89.0,17.3485094800662
Table S4,1200.0,90.0,17.6768799448883
Table S4,1200.0,91.0,18.0043519309168
Table S4,1200.0,92.0,18.3309340152752
Table S4,1200.0,93.0,18.6566346278873
Table S4,1200.0,94.0,18.9814620551423
Table S4,1200.0,95.0,19.3054244434414
Table S4,1200.0,96.0,19.6285298026286
Table S4,1200.0,97.0,19.950786009312
Table S4,1200.0,98.0,20.272200810079
Table S4,1200.0,99.0,20.5927818246103
Table S4,1200.0,100.0,20.9125365486955
Table S4,1300.0,0.0,-15.1064123793386
Table S4,1300.0,1.0,-14.684465529172
Table S4,1300.0,2.0,-14.2644859730994
Table S4,1300.0,3.0,-13.846542010723
Table S4,1300.0,4.0,-13.4306782260183
Table S4,1300.0,5.0,-13.0169213846363
Table S4,1300.0,6.0,-12.6052847560581
Table S4,1300.0,7.0,-12.1957713265329
Table S4,1300.0,8.0,-11.7883762173309
Table S4,1300.0,9.0,-11.3830885247523
Table S4,1300.0,10.0,-10.9798927334678
Table S4,1300.0,11.0,-10.5787698110621
Table S4,1300.0,12.0,-10.1796980616735
Table S4,1300.0,13.0,-9.78265379573882
Table S4,1300.0,14.0,-9.38761185807209
Table S4,1300.0,15.0,-8.99454604591133
Table S4,1300.0,16.0,-8.60342944087044
Table S4,1300.0,17.0,-8.21423467307803
Table S4,1300.0,18.0,-7.82693413158558
Table S4,1300.0,19.0,-7.44150013197626
Table S4,1300.0,20.0,-7.05790504972118
Table S4,1300.0,21.0,-6.6761214260092
Table S4,1300.0,22.0,-6.29612205137528
Table S4,1300.0,23.0,-5.91788003136684
Table S4,1300.0,24.0,-5.53558257796514
Table S4,1300.0,25.0,-5.1493744070805
Table S4,1300.0,26.0,-4.7651794504548
Table S4,1300.0,27.0,-4.38295801033586
Table S4,1300.0,28.0,-4.00267180038045
Table S4,1300.0,29.0,-3.62428387447682
Table S4,1300.0,30.0,-3.24775856006645
Table S4,1300.0,31.0,-2.87306139563963
Table S4,1300.0,32.0,-2.50015907210349
Table S4,1300.0,33.0,-2.12901937774407
Table S4,1300.0,34.0,-1.75961114652507
Table S4,1300.0,35.0,-1.39190420948613
Table S4,1300.0,36.0,-1.02586934902157
Table S4,1300.0,37.0,-0.661478255837856
Table S4,1300.0,38.0,-0.298703488403386
Table S4,1300.0,39.0,0.0624815652810522
Table S4,1300.0,40.0,0.4221027237497
Table S4,1300.0,41.0,0.780185046123376
Table S4,1300.0,42.0,1.13675286428023
Table S4,1300.0,43.0,1.49182981327053
Table S4,1300.0,44.0,1.84543886009078
Table S4,1300.0,45.0,2.19760233092382
Table S4,1300.0,46.0,2.54834193694373
Table S4,1300.0,47.0,2.89767879877683
Table S4,1300.0,48.0,3.24563346970355
Table S4,1300.0,49.0,3.59222595767972
Table S4,1300.0,50.0,3.93747574625005
