volume_ratio,experimental_fit_volume_a3,theoretical_fit_volume_a3,temperature_k,experimental_fit_pressure_gpa,theoretical_fit_pressure_gpa
0.46,75.5596,75.54,3000,811.557873772924,883.7
0.46,75.5596,75.54,3500,816.896612697239,888.9
0.46,75.5596,75.54,4000,822.262653998072,894.1
0.46,75.5596,75.54,4500,827.647006335534,899.2
0.46,75.5596,75.54,5000,833.044227173931,904.5
0.45,73.917,73.9,300,841.523964080256,925.6
0.45,73.917,73.9,1000,845.993872657175,929.2
0.45,73.917,73.9,1500,850.794694521784,933.6
0.45,73.917,73.9,2000,855.948523777067,938.5
0.45,73.917,73.9,2500,861.255188046652,943.5
0.45,73.917,73.9,3000,866.640883908726,948.7
0.45,73.917,73.9,3500,872.072531601445,953.9
0.45,73.917,73.9,4000,877.533189389335,959.1
0.45,73.917,73.9,4500,883.013309185164,964.4
0.45,73.917,73.9,5000,888.507109056084,969.7
0.44,72.2744,72.26,300,900.653223937802,996
0.44,72.2744,72.26,1000,905.120390044247,999.7
0.44,72.2744,72.26,1500,909.981361587558,1004.1
0.44,72.2744,72.26,2000,915.215641105192,1009
0.44,72.2744,72.26,2500,920.612087072318,1014.1
0.44,72.2744,72.26,3000,926.092515034464,1019.3
0.44,72.2744,72.26,3500,931.621812161792,1024.6
0.44,72.2744,72.26,4000,937.181975889908,1029.9
0.44,72.2744,72.26,4500,942.762853488586,1035.3
0.44,72.2744,72.26,5000,948.358294172402,1040.7
0.43,70.6318,70.62,300,964.57623727168,1072.7
0.43,70.6318,70.62,1000,969.039555569646,1076.4
0.43,70.6318,70.62,1500,973.962654745055,1080.9
0.43,70.6318,70.62,2000,979.280943908662,1085.8
0.43,70.6318,70.62,2500,984.771515545329,1091
0.43,70.6318,70.62,3000,990.351449270486,1096.3
0.43,70.6318,70.62,3500,995.983426960781,1101.7
0.43,70.6318,70.62,4000,1001.64829322212,1107.1
0.43,70.6318,70.62,4500,1007.33523750013,1112.5
0.43,70.6318,70.62,5000,1013.03770741579,1118
0.42,68.9892,68.97,300,1033.7863986628,1156.5
0.42,68.9892,68.97,1000,1038.24472173702,1160.2
0.42,68.9892,68.97,1500,1043.23192792223,1164.7
0.42,68.9892,68.97,2000,1048.63794042534,1169.7
0.42,68.9892,68.97,2500,1054.2272197595,1175
0.42,68.9892,68.97,3000,1059.91171867485,1180.3
0.42,68.9892,68.97,3500,1065.65172299117,1185.8
0.42,68.9892,68.97,4000,1071.42682228494,1191.3
